k_user k_attacker P_success_max thresholds_opt FARs_opt FRRs_opt product_FRR_user product_1_minus_FAR_attacker P_user_success P_attacker_rejected P_attacker_success mean_user_attempts_given_success
9 5 1.0000000000 29.978276,29.978276,29.978275,29.978273,29.978273,1.250000,1.250000,1.250000,1.250000 0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000 0.5918518211,0.5918518211,0.5918518096,0.5918517959,0.5918517945,0.0012404561,0.0012404561,0.0012404561,0.0012404561 0.0000000000 1.0000000000 1.0000000000 1.0000000000 0.0000000000 2.3448730505
10 5 1.0000000000 30.142254,30.142254,30.142253,30.142254,30.142253,1.250000,1.250000,1.250000,1.250000,1.250000 0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000 0.5934502697,0.5934502697,0.5934502579,0.5934502716,0.5934502618,0.0012404561,0.0012404561,0.0012404561,0.0012404561,0.0012404561 0.0000000000 1.0000000000 1.0000000000 1.0000000000 0.0000000000 2.3523685853
1 6 0.6093306371 11.898096,88.237142,75.182764,44.054057,91.531358,32.025824 0.1661759892,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000 0.2692335202,0.9921105362,0.9806768052,0.7497227990,0.9954480120,0.6100114671 0.2692335202 0.8338240108 0.7307664798 0.8338240108 0.1661759892 1.0000000000
2 6 0.7719910760 18.050000,18.050000,42.549834,77.395755,37.372121,62.781334 0.0303914321,0.0303914286,0.0000000000,0.0000000000,0.0000000000,0.0000000000 0.4229135525,0.4229135596,0.7264518559,0.9820945646,0.6679878310,0.9364200930 0.1788558759 0.9401407783 0.8211441241 0.9401407783 0.0598592217 1.2972166146
3 6 0.8621777858 20.550000,20.550000,20.550000,41.754302,38.318201,37.488561 0.0114607997,0.0114608016,0.0114608004,0.0000000000,0.0000000000,0.0000000000 0.4754633125,0.4754633052,0.4754633098,0.7171157247,0.6794190874,0.6693082827 0.1074857834 0.9660101427 0.8925142166 0.9660101427 0.0339898573 1.5451533373
4 6 0.9135716039 22.250000,22.250000,22.250000,22.250000,31.354381,31.354381 0.0053551338,0.0053551338,0.0053551335,0.0053551339,0.0000000000,0.0000000000 0.5079949534,0.5079949534,0.5079949556,0.5079949529,0.6040498152,0.6040498150 0.0665943820 0.9787509163 0.9334056180 0.9787509163 0.0212490837 1.7471170863
5 6 0.9436796883 23.349999,23.349999,23.349999,23.349998,23.349999,69.815352 0.0033882685,0.0033882684,0.0033882684,0.0033882699,0.0033882687,0.0000000000 0.5257495086,0.5257495093,0.5257495093,0.5257494914,0.5257495066,0.9676359780 0.0401693091 0.9831730714 0.9598306909 0.9831730714 0.0168269286 1.8993382688
6 6 0.9630459723 27.750000,27.750000,27.750000,27.750000,27.750000,27.750000 0.0005956945,0.0005956945,0.0005956945,0.0005956945,0.0005956945,0.0005956945 0.5677856374,0.5677856374,0.5677856374,0.5677856374,0.5677856374,0.5677856374 0.0335047525 0.9964311515 0.9664952475 0.9964311515 0.0035688485 2.1056693333
7 6 0.9999481124 29.649999,29.649999,29.650000,29.649999,29.649999,29.649999,1.250000 0.0000000577,0.0000000577,0.0000000577,0.0000000577,0.0000000577,0.0000000577,1.0000000000 0.5885220422,0.5885220422,0.5885220503,0.5885220422,0.5885220434,0.5885220425,0.0012404561 0.0000515416 0.9999996540 0.9999484584 0.9999996540 0.0000003460 2.3705970377
8 6 0.9999999340 29.950017,29.950017,29.950017,29.950017,29.950017,29.950017,1.250000,1.250000 0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000 0.5915737263,0.5915737263,0.5915737265,0.5915737255,0.5915737260,0.5915737255,0.0012404561,0.0012404561 0.0000000660 1.0000000000 0.9999999340 1.0000000000 0.0000000000 2.3863955673
