T FAR_uniform FRR_uniform FAR_quadratic FRR_quadratic
25.100000 0.132727 0.244615 0.000000 0.314832
25.200000 0.129091 0.245641 0.000000 0.316023
25.300000 0.125455 0.246667 0.000000 0.317215
25.400000 0.121818 0.247692 0.000000 0.318408
25.500000 0.118182 0.248718 0.000000 0.319602
25.600000 0.114545 0.249744 0.000000 0.320797
25.700000 0.110909 0.250769 0.000000 0.321993
25.800000 0.107273 0.251795 0.000000 0.323191
25.900000 0.103636 0.252821 0.000000 0.324389
26.000000 0.100000 0.253846 0.000000 0.325588
26.100000 0.096364 0.254872 0.000000 0.326788
26.200000 0.092727 0.255897 0.000000 0.327990
26.300000 0.089091 0.256923 0.000000 0.329192
26.400000 0.085455 0.257949 0.000000 0.330395
26.500000 0.081818 0.258974 0.000000 0.331600
26.600000 0.078182 0.260000 0.000000 0.332805
26.700000 0.074545 0.261026 0.000000 0.334011
26.800000 0.070909 0.262051 0.000000 0.335219
26.900000 0.067273 0.263077 0.000000 0.336427
27.000000 0.063636 0.264103 0.000000 0.337636
27.100000 0.060000 0.265128 0.000000 0.338846
27.200000 0.056364 0.266154 0.000000 0.340057
27.300000 0.052727 0.267179 0.000000 0.341269
27.400000 0.049091 0.268205 0.000000 0.342482
27.500000 0.045455 0.269231 0.000000 0.343696
27.600000 0.041818 0.270256 0.000000 0.344911
27.700000 0.038182 0.271282 0.000000 0.346126
27.800000 0.034545 0.272308 0.000000 0.347343
27.900000 0.030909 0.273333 0.000000 0.348560
28.000000 0.027273 0.274359 0.000000 0.349778
28.100000 0.023636 0.275385 0.000000 0.350998
28.200000 0.020000 0.276410 0.000000 0.352218
28.300000 0.016364 0.277436 0.000000 0.353439
28.400000 0.012727 0.278462 0.000000 0.354660
28.500000 0.009091 0.279487 0.000000 0.355883
28.600000 0.005455 0.280513 0.000000 0.357106
28.700000 0.001818 0.281538 0.000000 0.358331
28.800000 0.000000 0.282564 0.000000 0.359556
28.900000 0.000000 0.283590 0.000000 0.360782
29.000000 0.000000 0.284615 0.000000 0.362009
29.100000 0.000000 0.285641 0.000000 0.363236
29.200000 0.000000 0.286667 0.000000 0.364464
29.300000 0.000000 0.287692 0.000000 0.365694
29.400000 0.000000 0.288718 0.000000 0.366923
29.500000 0.000000 0.289744 0.000000 0.368154
29.600000 0.000000 0.290769 0.000000 0.369386
29.700000 0.000000 0.291795 0.000000 0.370618
29.800000 0.000000 0.292821 0.000000 0.371851
29.900000 0.000000 0.293846 0.000000 0.373084
30.000000 0.000000 0.294872 0.000000 0.374319
30.100000 0.000000 0.295897 0.000000 0.375554
30.200000 0.000000 0.296923 0.000000 0.376790
30.300000 0.000000 0.297949 0.000000 0.378026
30.400000 0.000000 0.298974 0.000000 0.379264
30.500000 0.000000 0.300000 0.000000 0.380502
30.600000 0.000000 0.301026 0.000000 0.381740
30.700000 0.000000 0.302051 0.000000 0.382980
30.800000 0.000000 0.303077 0.000000 0.384220
30.900000 0.000000 0.304103 0.000000 0.385461
31.000000 0.000000 0.305128 0.000000 0.386702
31.100000 0.000000 0.306154 0.000000 0.387944
31.200000 0.000000 0.307179 0.000000 0.389187
31.300000 0.000000 0.308205 0.000000 0.390430
31.400000 0.000000 0.309231 0.000000 0.391674
31.500000 0.000000 0.310256 0.000000 0.392919
31.600000 0.000000 0.311282 0.000000 0.394164
31.700000 0.000000 0.312308 0.000000 0.395410
31.800000 0.000000 0.313333 0.000000 0.396656
31.900000 0.000000 0.314359 0.000000 0.397903
32.000000 0.000000 0.315385 0.000000 0.399151
32.100000 0.000000 0.316410 0.000000 0.400399
32.200000 0.000000 0.317436 0.000000 0.401648
32.300000 0.000000 0.318462 0.000000 0.402897
32.400000 0.000000 0.319487 0.000000 0.404147
32.500000 0.000000 0.320513 0.000000 0.405397
32.600000 0.000000 0.321538 0.000000 0.406649
32.700000 0.000000 0.322564 0.000000 0.407900
32.800000 0.000000 0.323590 0.000000 0.409152
32.900000 0.000000 0.324615 0.000000 0.410405
33.000000 0.000000 0.325641 0.000000 0.411658
33.100000 0.000000 0.326667 0.000000 0.412911
33.200000 0.000000 0.327692 0.000000 0.414166
33.300000 0.000000 0.328718 0.000000 0.415420
33.400000 0.000000 0.329744 0.000000 0.416675
33.500000 0.000000 0.330769 0.000000 0.417931
33.600000 0.000000 0.331795 0.000000 0.419187
33.700000 0.000000 0.332821 0.000000 0.420444
33.800000 0.000000 0.333846 0.000000 0.421701
33.900000 0.000000 0.334872 0.000000 0.422958
34.000000 0.000000 0.335897 0.000000 0.424216
34.100000 0.000000 0.336923 0.000000 0.425474
34.200000 0.000000 0.337949 0.000000 0.426733
34.300000 0.000000 0.338974 0.000000 0.427992
34.400000 0.000000 0.340000 0.000000 0.429252
34.500000 0.000000 0.341026 0.000000 0.430512
34.600000 0.000000 0.342051 0.000000 0.431772
34.700000 0.000000 0.343077 0.000000 0.433033
34.800000 0.000000 0.344103 0.000000 0.434294
34.900000 0.000000 0.345128 0.000000 0.435556
35.000000 0.000000 0.346154 0.000000 0.436818
35.100000 0.000000 0.347179 0.000000 0.438080
35.200000 0.000000 0.348205 0.000000 0.439343
35.300000 0.000000 0.349231 0.000000 0.440606
35.400000 0.000000 0.350256 0.000000 0.441869
35.500000 0.000000 0.351282 0.000000 0.443133
35.600000 0.000000 0.352308 0.000000 0.444397
35.700000 0.000000 0.353333 0.000000 0.445661
35.800000 0.000000 0.354359 0.000000 0.446926
35.900000 0.000000 0.355385 0.000000 0.448191
36.000000 0.000000 0.356410 0.000000 0.449456
36.100000 0.000000 0.357436 0.000000 0.450721
36.200000 0.000000 0.358462 0.000000 0.451987
36.300000 0.000000 0.359487 0.000000 0.453253
36.400000 0.000000 0.360513 0.000000 0.454520
36.500000 0.000000 0.361538 0.000000 0.455786
36.600000 0.000000 0.362564 0.000000 0.457053
36.700000 0.000000 0.363590 0.000000 0.458320
36.800000 0.000000 0.364615 0.000000 0.459588
36.900000 0.000000 0.365641 0.000000 0.460855
37.000000 0.000000 0.366667 0.000000 0.462123
37.100000 0.000000 0.367692 0.000000 0.463391
37.200000 0.000000 0.368718 0.000000 0.464659
37.300000 0.000000 0.369744 0.000000 0.465928
37.400000 0.000000 0.370769 0.000000 0.467196
37.500000 0.000000 0.371795 0.000000 0.468465
37.600000 0.000000 0.372821 0.000000 0.469734
37.700000 0.000000 0.373846 0.000000 0.471004
37.800000 0.000000 0.374872 0.000000 0.472273
37.900000 0.000000 0.375897 0.000000 0.473542
38.000000 0.000000 0.376923 0.000000 0.474812
38.100000 0.000000 0.377949 0.000000 0.476082
38.200000 0.000000 0.378974 0.000000 0.477352
38.300000 0.000000 0.380000 0.000000 0.478622
38.400000 0.000000 0.381026 0.000000 0.479892
38.500000 0.000000 0.382051 0.000000 0.481163
38.600000 0.000000 0.383077 0.000000 0.482433
38.700000 0.000000 0.384103 0.000000 0.483703
38.800000 0.000000 0.385128 0.000000 0.484974
38.900000 0.000000 0.386154 0.000000 0.486245
39.000000 0.000000 0.387179 0.000000 0.487516
39.100000 0.000000 0.388205 0.000000 0.488786
39.200000 0.000000 0.389231 0.000000 0.490057
39.300000 0.000000 0.390256 0.000000 0.491328
39.400000 0.000000 0.391282 0.000000 0.492599
39.500000 0.000000 0.392308 0.000000 0.493870
39.600000 0.000000 0.393333 0.000000 0.495142
39.700000 0.000000 0.394359 0.000000 0.496413
39.800000 0.000000 0.395385 0.000000 0.497684
39.900000 0.000000 0.396410 0.000000 0.498955
40.000000 0.000000 0.397436 0.000000 0.500226
40.100000 0.000000 0.398462 0.000000 0.501497
40.200000 0.000000 0.399487 0.000000 0.502769
40.300000 0.000000 0.400513 0.000000 0.504040
40.400000 0.000000 0.401538 0.000000 0.505311
40.500000 0.000000 0.402564 0.000000 0.506582
40.600000 0.000000 0.403590 0.000000 0.507853
40.700000 0.000000 0.404615 0.000000 0.509124
40.800000 0.000000 0.405641 0.000000 0.510395
40.900000 0.000000 0.406667 0.000000 0.511666
41.000000 0.000000 0.407692 0.000000 0.512937
41.100000 0.000000 0.408718 0.000000 0.514208
41.200000 0.000000 0.409744 0.000000 0.515478
41.300000 0.000000 0.410769 0.000000 0.516749
41.400000 0.000000 0.411795 0.000000 0.518019
41.500000 0.000000 0.412821 0.000000 0.519290
41.600000 0.000000 0.413846 0.000000 0.520560
41.700000 0.000000 0.414872 0.000000 0.521830
41.800000 0.000000 0.415897 0.000000 0.523100
41.900000 0.000000 0.416923 0.000000 0.524370
42.000000 0.000000 0.417949 0.000000 0.525640
42.100000 0.000000 0.418974 0.000000 0.526910
42.200000 0.000000 0.420000 0.000000 0.528179
42.300000 0.000000 0.421026 0.000000 0.529448
42.400000 0.000000 0.422051 0.000000 0.530717
42.500000 0.000000 0.423077 0.000000 0.531986
42.600000 0.000000 0.424103 0.000000 0.533255
42.700000 0.000000 0.425128 0.000000 0.534524
42.800000 0.000000 0.426154 0.000000 0.535792
42.900000 0.000000 0.427179 0.000000 0.537060
43.000000 0.000000 0.428205 0.000000 0.538328
43.100000 0.000000 0.429231 0.000000 0.539596
43.200000 0.000000 0.430256 0.000000 0.540864
43.300000 0.000000 0.431282 0.000000 0.542131
43.400000 0.000000 0.432308 0.000000 0.543398
43.500000 0.000000 0.433333 0.000000 0.544665
43.600000 0.000000 0.434359 0.000000 0.545931
43.700000 0.000000 0.435385 0.000000 0.547197
43.800000 0.000000 0.436410 0.000000 0.548463
43.900000 0.000000 0.437436 0.000000 0.549729
44.000000 0.000000 0.438462 0.000000 0.550995
44.100000 0.000000 0.439487 0.000000 0.552260
44.200000 0.000000 0.440513 0.000000 0.553525
44.300000 0.000000 0.441538 0.000000 0.554789
44.400000 0.000000 0.442564 0.000000 0.556053
44.500000 0.000000 0.443590 0.000000 0.557317
44.600000 0.000000 0.444615 0.000000 0.558581
44.700000 0.000000 0.445641 0.000000 0.559844
44.800000 0.000000 0.446667 0.000000 0.561107
44.900000 0.000000 0.447692 0.000000 0.562369
45.000000 0.000000 0.448718 0.000000 0.563632
45.100000 0.000000 0.449744 0.000000 0.564893
45.200000 0.000000 0.450769 0.000000 0.566155
45.300000 0.000000 0.451795 0.000000 0.567416
45.400000 0.000000 0.452821 0.000000 0.568677
45.500000 0.000000 0.453846 0.000000 0.569937
45.600000 0.000000 0.454872 0.000000 0.571197
45.700000 0.000000 0.455897 0.000000 0.572456
45.800000 0.000000 0.456923 0.000000 0.573715
45.900000 0.000000 0.457949 0.000000 0.574974
46.000000 0.000000 0.458974 0.000000 0.576232
46.100000 0.000000 0.460000 0.000000 0.577490
46.200000 0.000000 0.461026 0.000000 0.578747
46.300000 0.000000 0.462051 0.000000 0.580004
46.400000 0.000000 0.463077 0.000000 0.581260
46.500000 0.000000 0.464103 0.000000 0.582516
46.600000 0.000000 0.465128 0.000000 0.583771
46.700000 0.000000 0.466154 0.000000 0.585026
46.800000 0.000000 0.467179 0.000000 0.586281
46.900000 0.000000 0.468205 0.000000 0.587535
47.000000 0.000000 0.469231 0.000000 0.588788
47.100000 0.000000 0.470256 0.000000 0.590041
47.200000 0.000000 0.471282 0.000000 0.591294
47.300000 0.000000 0.472308 0.000000 0.592546
47.400000 0.000000 0.473333 0.000000 0.593797
47.500000 0.000000 0.474359 0.000000 0.595048
47.600000 0.000000 0.475385 0.000000 0.596298
47.700000 0.000000 0.476410 0.000000 0.597548
47.800000 0.000000 0.477436 0.000000 0.598797
47.900000 0.000000 0.478462 0.000000 0.600045
48.000000 0.000000 0.479487 0.000000 0.601293
48.100000 0.000000 0.480513 0.000000 0.602541
48.200000 0.000000 0.481538 0.000000 0.603788
48.300000 0.000000 0.482564 0.000000 0.605034
48.400000 0.000000 0.483590 0.000000 0.606280
48.500000 0.000000 0.484615 0.000000 0.607525
48.600000 0.000000 0.485641 0.000000 0.608769
48.700000 0.000000 0.486667 0.000000 0.610013
48.800000 0.000000 0.487692 0.000000 0.611256
48.900000 0.000000 0.488718 0.000000 0.612498
49.000000 0.000000 0.489744 0.000000 0.613740
49.100000 0.000000 0.490769 0.000000 0.614981
49.200000 0.000000 0.491795 0.000000 0.616222
49.300000 0.000000 0.492821 0.000000 0.617461
49.400000 0.000000 0.493846 0.000000 0.618701
49.500000 0.000000 0.494872 0.000000 0.619939
49.600000 0.000000 0.495897 0.000000 0.621177
49.700000 0.000000 0.496923 0.000000 0.622414
49.800000 0.000000 0.497949 0.000000 0.623650
49.900000 0.000000 0.498974 0.000000 0.624886
50.000000 0.000000 0.500000 0.000000 0.626121
50.100000 0.000000 0.501026 0.000000 0.627355
50.200000 0.000000 0.502051 0.000000 0.628588
50.300000 0.000000 0.503077 0.000000 0.629821
50.400000 0.000000 0.504103 0.000000 0.631053
50.500000 0.000000 0.505128 0.000000 0.632284
50.600000 0.000000 0.506154 0.000000 0.633514
50.700000 0.000000 0.507179 0.000000 0.634744
50.800000 0.000000 0.508205 0.000000 0.635973
50.900000 0.000000 0.509231 0.000000 0.637201
51.000000 0.000000 0.510256 0.000000 0.638428
51.100000 0.000000 0.511282 0.000000 0.639655
51.200000 0.000000 0.512308 0.000000 0.640880
51.300000 0.000000 0.513333 0.000000 0.642105
51.400000 0.000000 0.514359 0.000000 0.643329
51.500000 0.000000 0.515385 0.000000 0.644552
51.600000 0.000000 0.516410 0.000000 0.645775
