family,P_safe,P_leak,P_loss,P_theft,max_AND,max_OR,eer_AND,eer_OR,best_kind,best_max,eer_of_maximal_config,best_threshold,failure_improvement_ratio
decrease_leak,0.75,0.15,0.05,0.05,0.785266223604397,0.7711529522383677,0.674481478807834,0.6139233625962408,AND,0.785266223604397,0.674481478807834,3.9500000000000024,0.34033315336660225
decrease_leak,0.76,0.14,0.05,0.05,0.7908300362674408,0.7811460866323179,0.6762075912465474,0.6217052866561134,AND,0.7908300362674408,0.6762075912465474,3.8500000000000023,0.35399979098389267
decrease_leak,0.77,0.13,0.05,0.05,0.796482530845021,0.7911395341294764,0.6779337036852606,0.629487210715986,AND,0.796482530845021,0.6779337036852606,3.750000000000002,0.36808827411083234
decrease_leak,0.78,0.12,0.05,0.05,0.8022322403426617,0.8011332030269066,0.6796598161239739,0.6372691347758586,AND,0.8022322403426617,0.6796598161239739,3.650000000000002,0.38263205925524546
decrease_leak,0.79,0.11,0.05,0.05,0.8080919708308734,0.8111272460817864,0.6813859285626871,0.6450510588357311,OR,0.8111272460817864,0.6450510588357311,27.750000000000025,0.467887540955351
decrease_leak,0.8,0.1,0.05,0.05,0.8140783629293454,0.8211214325230336,0.6831120410014004,0.6528329828956038,OR,0.8211214325230336,0.6528329828956038,27.850000000000023,0.48474780533896167
decrease_leak,0.81,0.09,0.05,0.05,0.8202556718156515,0.8311160708293914,0.6848381534401137,0.6606149069554763,OR,0.8311160708293914,0.6606149069554763,27.850000000000023,0.5023825953709381
decrease_leak,0.82,0.08,0.05,0.05,0.8266670324927805,0.841110727835942,0.6865642658788268,0.6683968310153487,OR,0.841110727835942,0.6683968310153487,27.950000000000024,0.520845133505306
decrease_leak,0.83,0.07,0.05,0.05,0.8334371679638352,0.8511059605137654,0.6882903783175401,0.6761787550752214,OR,0.8511059605137654,0.6761787550752214,27.950000000000024,0.5401968159290425
decrease_leak,0.84,0.06,0.05,0.05,0.840733478380883,0.861101193191589,0.6900164907562534,0.683960679135094,OR,0.861101193191589,0.683960679135094,27.950000000000024,0.5605015020653565
decrease_leak,0.85,0.05,0.05,0.05,0.8489456123009894,0.8710967969892035,0.6917426031949667,0.6917426031949666,OR,0.8710967969892035,0.6917426031949666,28.050000000000026,0.5818325712640557
decrease_leak,0.86,0.04,0.05,0.05,0.8589332077398246,0.8810926217756426,0.6934687156336798,0.6995245272548392,OR,0.8810926217756426,0.6995245272548392,28.050000000000026,0.604269269840853
decrease_leak,0.87,0.03,0.05,0.05,0.8689208031786597,0.8910884465620817,0.6951948280723931,0.7073064513147118,OR,0.8910884465620817,0.7073064513147118,28.050000000000026,0.6278990297971246
decrease_leak,0.88,0.02,0.05,0.05,0.8789083986174949,0.9010847338253536,0.6969209405111064,0.7150883753745844,OR,0.9010847338253536,0.7150883753745844,28.150000000000023,0.6528212342873193
decrease_leak,0.89,0.01,0.05,0.05,0.8888959940563301,0.911081145513645,0.6986470529498198,0.7228702994344569,OR,0.911081145513645,0.7228702994344569,28.150000000000023,0.6791435407143414
decrease_leak,0.9,0.0,0.05,0.05,0.8988835894951652,0.9210775572019366,0.700373165388533,0.7306522234943296,OR,0.9210775572019366,0.7306522234943296,28.150000000000023,0.7069868412431396
