score genuine_cdf impostor_cdf
1.5540220413 0.0183673469 0.4034090909
1.5591633201 0.0183673469 0.4045454545
1.5679928480 0.0183673469 0.4056818182
1.5801196002 0.0183673469 0.4068181818
1.5855429079 0.0183673469 0.4079545455
1.6264966670 0.0183673469 0.4090909091
1.6847668416 0.0183673469 0.4102272727
1.7476617402 0.0183673469 0.4113636364
1.7618005498 0.0183673469 0.4125000000
1.7770019065 0.0183673469 0.4136363636
1.7969807646 0.0183673469 0.4147727273
1.8066435828 0.0183673469 0.4159090909
1.8234276890 0.0183673469 0.4170454545
1.8295221229 0.0183673469 0.4181818182
1.8330940237 0.0183673469 0.4193181818
1.8510001304 0.0183673469 0.4204545455
1.8567709902 0.0204081633 0.4204545455
1.8574617344 0.0204081633 0.4215909091
1.8711174832 0.0204081633 0.4227272727
1.8923270611 0.0204081633 0.4238636364
1.8948836339 0.0204081633 0.4250000000
1.9051985445 0.0204081633 0.4261363636
1.9054022055 0.0204081633 0.4272727273
1.9091631479 0.0204081633 0.4284090909
1.9124096181 0.0204081633 0.4295454545
1.9218507637 0.0204081633 0.4306818182
1.9356357295 0.0204081633 0.4318181818
1.9501020342 0.0204081633 0.4329545455
1.9523514279 0.0204081633 0.4340909091
1.9726462081 0.0204081633 0.4352272727
1.9753201816 0.0204081633 0.4363636364
1.9759291844 0.0204081633 0.4375000000
1.9838748526 0.0204081633 0.4386363636
1.9846001388 0.0204081633 0.4397727273
1.9962069236 0.0224489796 0.4397727273
2.0015523934 0.0224489796 0.4409090909
2.0041015297 0.0244897959 0.4409090909
2.0072226702 0.0244897959 0.4420454545
2.0211172309 0.0244897959 0.4431818182
2.0683660063 0.0244897959 0.4443181818
2.0735994505 0.0244897959 0.4454545455
2.1030322763 0.0244897959 0.4465909091
2.1050152905 0.0244897959 0.4477272727
2.1050978150 0.0265306122 0.4477272727
2.1174636950 0.0265306122 0.4488636364
2.1244833352 0.0265306122 0.4500000000
2.1338033050 0.0265306122 0.4511363636
2.1370285690 0.0265306122 0.4522727273
2.1378040039 0.0265306122 0.4534090909
2.1617742151 0.0265306122 0.4545454545
2.1788511555 0.0265306122 0.4556818182
2.1832544207 0.0265306122 0.4568181818
2.1952486486 0.0265306122 0.4579545455
2.2180618276 0.0265306122 0.4590909091
2.2211242657 0.0285714286 0.4590909091
2.2451030285 0.0285714286 0.4602272727
2.2485147669 0.0285714286 0.4613636364
2.2922033916 0.0285714286 0.4625000000
2.3073727023 0.0285714286 0.4636363636
2.3127224413 0.0285714286 0.4647727273
2.3212157941 0.0285714286 0.4659090909
2.3245613872 0.0285714286 0.4670454545
2.3296412507 0.0285714286 0.4681818182
2.3521314014 0.0285714286 0.4693181818
2.3566993458 0.0285714286 0.4704545455
2.3706043232 0.0285714286 0.4715909091
