T P_and P_or
47.800000 0.590857 0.824878
47.900000 0.590005 0.824842
48.000000 0.589149 0.824806
48.100000 0.588290 0.824770
48.200000 0.587428 0.824734
48.300000 0.586563 0.824697
48.400000 0.585695 0.824661
48.500000 0.584823 0.824624
48.600000 0.583949 0.824587
48.700000 0.583071 0.824550
48.800000 0.582190 0.824513
48.900000 0.581306 0.824476
49.000000 0.580419 0.824439
49.100000 0.579528 0.824401
49.200000 0.578634 0.824364
49.300000 0.577738 0.824326
49.400000 0.576838 0.824288
49.500000 0.575934 0.824250
49.600000 0.575028 0.824212
49.700000 0.574119 0.824173
49.800000 0.573206 0.824135
49.900000 0.572290 0.824096
50.000000 0.571371 0.824058
50.100000 0.570449 0.824019
50.200000 0.569524 0.823980
50.300000 0.568595 0.823941
50.400000 0.567663 0.823902
50.500000 0.566729 0.823862
50.600000 0.565790 0.823823
50.700000 0.564849 0.823783
50.800000 0.563905 0.823743
50.900000 0.562957 0.823703
51.000000 0.562007 0.823663
51.100000 0.561053 0.823623
51.200000 0.560096 0.823583
51.300000 0.559136 0.823543
51.400000 0.558172 0.823502
51.500000 0.557206 0.823461
51.600000 0.556236 0.823420
51.700000 0.555263 0.823379
51.800000 0.554287 0.823338
51.900000 0.553308 0.823297
52.000000 0.552325 0.823256
52.100000 0.551340 0.823214
52.200000 0.550351 0.823173
52.300000 0.549359 0.823131
52.400000 0.548364 0.823089
52.500000 0.547366 0.823047
52.600000 0.546365 0.823005
52.700000 0.545360 0.822963
52.800000 0.544352 0.822920
52.900000 0.543341 0.822878
53.000000 0.542327 0.822835
53.100000 0.541310 0.822792
53.200000 0.540290 0.822749
53.300000 0.539266 0.822706
53.400000 0.538239 0.822663
53.500000 0.537209 0.822619
53.600000 0.536176 0.822576
53.700000 0.535140 0.822532
53.800000 0.534101 0.822488
53.900000 0.533058 0.822445
54.000000 0.532012 0.822401
54.100000 0.530963 0.822356
54.200000 0.529911 0.822312
54.300000 0.528856 0.822268
54.400000 0.527798 0.822223
54.500000 0.526736 0.822178
54.600000 0.525671 0.822134
54.700000 0.524603 0.822089
54.800000 0.523532 0.822043
54.900000 0.522458 0.821998
55.000000 0.521380 0.821953
55.100000 0.520300 0.821907
55.200000 0.519216 0.821862
55.300000 0.518129 0.821816
55.400000 0.517039 0.821770
55.500000 0.515946 0.821724
55.600000 0.514849 0.821678
55.700000 0.513749 0.821632
55.800000 0.512647 0.821585
55.900000 0.511541 0.821539
56.000000 0.510431 0.821492
56.100000 0.509319 0.821445
56.200000 0.508204 0.821398
56.300000 0.507085 0.821351
56.400000 0.505963 0.821304
56.500000 0.504838 0.821256
56.600000 0.503710 0.821209
56.700000 0.502579 0.821161
56.800000 0.501444 0.821113
56.900000 0.500307 0.821066
57.000000 0.499166 0.821018
57.100000 0.498022 0.820969
57.200000 0.496875 0.820921
57.300000 0.495724 0.820873
57.400000 0.494571 0.820824
57.500000 0.493414 0.820775
57.600000 0.492254 0.820726
57.700000 0.491091 0.820678
57.800000 0.489925 0.820628
57.900000 0.488756 0.820579
58.000000 0.487583 0.820530
58.100000 0.486407 0.820480
58.200000 0.485229 0.820431
58.300000 0.484046 0.820381
58.400000 0.482861 0.820331
58.500000 0.481673 0.820281
58.600000 0.480481 0.820231
58.700000 0.479287 0.820180
58.800000 0.478089 0.820130
58.900000 0.476888 0.820079
59.000000 0.475684 0.820029
59.100000 0.474476 0.819978
59.200000 0.473266 0.819927
59.300000 0.472052 0.819876
59.400000 0.470835 0.819825
59.500000 0.469615 0.819773
59.600000 0.468392 0.819722
59.700000 0.467165 0.819670
59.800000 0.465936 0.819618
59.900000 0.464703 0.819566
60.000000 0.463467 0.819514
60.100000 0.462228 0.819462
60.200000 0.460986 0.819410
60.300000 0.459740 0.819357
60.400000 0.458492 0.819305
60.500000 0.457240 0.819252
60.600000 0.455985 0.819199
60.700000 0.454727 0.819146
60.800000 0.453466 0.819093
60.900000 0.452201 0.819040
61.000000 0.450934 0.818987
61.100000 0.449663 0.818933
61.200000 0.448389 0.818880
61.300000 0.447112 0.818826
61.400000 0.445832 0.818772
61.500000 0.444548 0.818718
61.600000 0.443262 0.818664
61.700000 0.441972 0.818609
61.800000 0.440679 0.818555
61.900000 0.439383 0.818500
62.000000 0.438084 0.818446
62.100000 0.436781 0.818391
62.200000 0.435475 0.818336
62.300000 0.434167 0.818281
62.400000 0.432855 0.818225
62.500000 0.431540 0.818170
62.600000 0.430221 0.818115
62.700000 0.428900 0.818059
62.800000 0.427575 0.818003
62.900000 0.426247 0.817947
63.000000 0.424916 0.817891
63.100000 0.423582 0.817835
63.200000 0.422245 0.817779
63.300000 0.420904 0.817722
63.400000 0.419561 0.817666
63.500000 0.418214 0.817609
63.600000 0.416864 0.817552
63.700000 0.415511 0.817495
63.800000 0.414154 0.817438
63.900000 0.412795 0.817381
64.000000 0.411432 0.817323
64.100000 0.410067 0.817266
64.200000 0.408697 0.817208
64.300000 0.407325 0.817151
64.400000 0.405950 0.817093
64.500000 0.404571 0.817035
64.600000 0.403190 0.816976
64.700000 0.401805 0.816918
64.800000 0.400417 0.816860
64.900000 0.399026 0.816801
65.000000 0.397631 0.816742
65.100000 0.396234 0.816684
65.200000 0.394833 0.816625
65.300000 0.393429 0.816565
65.400000 0.392022 0.816506
65.500000 0.390612 0.816447
65.600000 0.389199 0.816387
65.700000 0.387782 0.816328
65.800000 0.386362 0.816268
65.900000 0.384940 0.816208
66.000000 0.383514 0.816148
66.100000 0.382084 0.816088
66.200000 0.380652 0.816027
66.300000 0.379216 0.815967
66.400000 0.377778 0.815906
66.500000 0.376336 0.815846
66.600000 0.374891 0.815785
66.700000 0.373443 0.815724
66.800000 0.371991 0.815663
66.900000 0.370537 0.815602
67.000000 0.369079 0.815540
67.100000 0.367618 0.815479
67.200000 0.366154 0.815417
67.300000 0.364687 0.815355
67.400000 0.363216 0.815293
67.500000 0.361743 0.815231
67.600000 0.360266 0.815169
67.700000 0.358786 0.815107
67.800000 0.357303 0.815044
