T FAR FRR
63.350000 0.000000 0.939616
63.450000 0.000000 0.940107
63.550000 0.000000 0.940580
63.650000 0.000000 0.941041
63.750000 0.000000 0.941491
63.850000 0.000000 0.941937
63.950000 0.000000 0.942381
64.050000 0.000000 0.942827
64.150000 0.000000 0.943277
64.250000 0.000000 0.943734
64.350000 0.000000 0.944198
64.450000 0.000000 0.944669
64.550000 0.000000 0.945149
64.650000 0.000000 0.945637
64.750000 0.000000 0.946133
64.850000 0.000000 0.946638
64.950000 0.000000 0.947150
65.050000 0.000000 0.947671
65.150000 0.000000 0.948200
65.250000 0.000000 0.948738
65.350000 0.000000 0.949284
65.450000 0.000000 0.949838
65.550000 0.000000 0.950400
65.650000 0.000000 0.950970
65.750000 0.000000 0.951547
65.850000 0.000000 0.952132
65.950000 0.000000 0.952721
66.050000 0.000000 0.953314
66.150000 0.000000 0.953907
66.250000 0.000000 0.954498
66.350000 0.000000 0.955083
66.450000 0.000000 0.955659
66.550000 0.000000 0.956223
66.650000 0.000000 0.956774
66.750000 0.000000 0.957311
66.850000 0.000000 0.957831
66.950000 0.000000 0.958335
67.050000 0.000000 0.958823
67.150000 0.000000 0.959294
67.250000 0.000000 0.959749
67.350000 0.000000 0.960188
67.450000 0.000000 0.960609
67.550000 0.000000 0.961014
67.650000 0.000000 0.961403
67.750000 0.000000 0.961775
67.850000 0.000000 0.962131
67.950000 0.000000 0.962470
68.050000 0.000000 0.962793
68.150000 0.000000 0.963099
68.250000 0.000000 0.963391
68.350000 0.000000 0.963667
68.450000 0.000000 0.963930
68.550000 0.000000 0.964182
68.650000 0.000000 0.964427
68.750000 0.000000 0.964667
68.850000 0.000000 0.964906
68.950000 0.000000 0.965149
69.050000 0.000000 0.965397
69.150000 0.000000 0.965654
69.250000 0.000000 0.965920
69.350000 0.000000 0.966197
69.450000 0.000000 0.966485
69.550000 0.000000 0.966784
69.650000 0.000000 0.967095
69.750000 0.000000 0.967418
69.850000 0.000000 0.967752
69.950000 0.000000 0.968097
70.050000 0.000000 0.968455
70.150000 0.000000 0.968823
70.250000 0.000000 0.969204
70.350000 0.000000 0.969596
70.450000 0.000000 0.969999
70.550000 0.000000 0.970414
70.650000 0.000000 0.970840
70.750000 0.000000 0.971277
70.850000 0.000000 0.971723
70.950000 0.000000 0.972177
71.050000 0.000000 0.972637
71.150000 0.000000 0.973099
71.250000 0.000000 0.973560
71.350000 0.000000 0.974016
71.450000 0.000000 0.974462
71.550000 0.000000 0.974897
71.650000 0.000000 0.975316
71.750000 0.000000 0.975720
71.850000 0.000000 0.976106
71.950000 0.000000 0.976475
72.050000 0.000000 0.976825
72.150000 0.000000 0.977158
72.250000 0.000000 0.977472
72.350000 0.000000 0.977768
72.450000 0.000000 0.978046
72.550000 0.000000 0.978306
72.650000 0.000000 0.978547
72.750000 0.000000 0.978770
72.850000 0.000000 0.978975
72.950000 0.000000 0.979162
73.050000 0.000000 0.979331
73.150000 0.000000 0.979482
73.250000 0.000000 0.979616
73.350000 0.000000 0.979732
73.450000 0.000000 0.979832
73.550000 0.000000 0.979918
73.650000 0.000000 0.979991
73.750000 0.000000 0.980054
73.850000 0.000000 0.980109
73.950000 0.000000 0.980159
74.050000 0.000000 0.980204
74.150000 0.000000 0.980248
74.250000 0.000000 0.980290
74.350000 0.000000 0.980332
74.450000 0.000000 0.980374
74.550000 0.000000 0.980415
74.650000 0.000000 0.980457
74.750000 0.000000 0.980498
74.850000 0.000000 0.980539
74.950000 0.000000 0.980581
75.050000 0.000000 0.980622
75.150000 0.000000 0.980663
75.250000 0.000000 0.980705
75.350000 0.000000 0.980746
75.450000 0.000000 0.980787
75.550000 0.000000 0.980829
75.650000 0.000000 0.980870
75.750000 0.000000 0.980912
75.850000 0.000000 0.980954
75.950000 0.000000 0.980997
76.050000 0.000000 0.981041
76.150000 0.000000 0.981088
76.250000 0.000000 0.981137
76.350000 0.000000 0.981190
76.450000 0.000000 0.981247
76.550000 0.000000 0.981310
76.650000 0.000000 0.981379
76.750000 0.000000 0.981454
76.850000 0.000000 0.981535
76.950000 0.000000 0.981622
77.050000 0.000000 0.981717
77.150000 0.000000 0.981818
77.250000 0.000000 0.981925
77.350000 0.000000 0.982039
77.450000 0.000000 0.982160
77.550000 0.000000 0.982287
77.650000 0.000000 0.982421
77.750000 0.000000 0.982562
77.850000 0.000000 0.982709
77.950000 0.000000 0.982863
78.050000 0.000000 0.983023
78.150000 0.000000 0.983190
78.250000 0.000000 0.983363
78.350000 0.000000 0.983542
78.450000 0.000000 0.983726
78.550000 0.000000 0.983914
78.650000 0.000000 0.984106
78.750000 0.000000 0.984299
78.850000 0.000000 0.984492
78.950000 0.000000 0.984684
79.050000 0.000000 0.984873
79.150000 0.000000 0.985058
79.250000 0.000000 0.985239
79.350000 0.000000 0.985416
79.450000 0.000000 0.985588
79.550000 0.000000 0.985755
79.650000 0.000000 0.985917
79.750000 0.000000 0.986074
79.850000 0.000000 0.986226
79.950000 0.000000 0.986374
80.050000 0.000000 0.986516
80.150000 0.000000 0.986653
80.250000 0.000000 0.986785
80.350000 0.000000 0.986913
80.450000 0.000000 0.987035
80.550000 0.000000 0.987153
80.650000 0.000000 0.987265
80.750000 0.000000 0.987373
80.850000 0.000000 0.987476
80.950000 0.000000 0.987575
81.050000 0.000000 0.987669
81.150000 0.000000 0.987760
81.250000 0.000000 0.987847
81.350000 0.000000 0.987932
81.450000 0.000000 0.988015
81.550000 0.000000 0.988096
81.650000 0.000000 0.988176
81.750000 0.000000 0.988255
81.850000 0.000000 0.988333
81.950000 0.000000 0.988410
82.050000 0.000000 0.988486
82.150000 0.000000 0.988561
82.250000 0.000000 0.988636
82.350000 0.000000 0.988709
82.450000 0.000000 0.988782
82.550000 0.000000 0.988854
82.650000 0.000000 0.988925
82.750000 0.000000 0.988995
82.850000 0.000000 0.989065
82.950000 0.000000 0.989134
83.050000 0.000000 0.989201
83.150000 0.000000 0.989268
83.250000 0.000000 0.989334
83.350000 0.000000 0.989400
83.450000 0.000000 0.989464
83.550000 0.000000 0.989528
83.650000 0.000000 0.989591
83.750000 0.000000 0.989653
83.850000 0.000000 0.989714
83.950000 0.000000 0.989774
84.050000 0.000000 0.989834
84.150000 0.000000 0.989893
84.250000 0.000000 0.989951
84.350000 0.000000 0.990008
84.450000 0.000000 0.990064
84.550000 0.000000 0.990119
84.650000 0.000000 0.990174
84.750000 0.000000 0.990228
84.850000 0.000000 0.990281
84.950000 0.000000 0.990333
85.050000 0.000000 0.990384
85.150000 0.000000 0.990434
85.250000 0.000000 0.990484
85.350000 0.000000 0.990533
85.450000 0.000000 0.990581
85.550000 0.000000 0.990628
85.650000 0.000000 0.990674
85.750000 0.000000 0.990720
85.850000 0.000000 0.990765
85.950000 0.000000 0.990809
86.050000 0.000000 0.990853
86.150000 0.000000 0.990897
86.250000 0.000000 0.990942
86.350000 0.000000 0.990987
86.450000 0.000000 0.991032
86.550000 0.000000 0.991079
86.650000 0.000000 0.991128
86.750000 0.000000 0.991177
86.850000 0.000000 0.991229
86.950000 0.000000 0.991282
87.050000 0.000000 0.991336
87.150000 0.000000 0.991392
87.250000 0.000000 0.991450
87.350000 0.000000 0.991510
87.450000 0.000000 0.991571
87.550000 0.000000 0.991634
87.650000 0.000000 0.991698
87.750000 0.000000 0.991765
87.850000 0.000000 0.991832
87.950000 0.000000 0.991902
88.050000 0.000000 0.991973
88.150000 0.000000 0.992046
88.250000 0.000000 0.992120
88.350000 0.000000 0.992196
88.450000 0.000000 0.992274
88.550000 0.000000 0.992353
88.650000 0.000000 0.992434
88.750000 0.000000 0.992517
88.850000 0.000000 0.992601
88.950000 0.000000 0.992687
89.050000 0.000000 0.992775
89.150000 0.000000 0.992864
89.250000 0.000000 0.992955
89.350000 0.000000 0.993048
89.450000 0.000000 0.993142
89.550000 0.000000 0.993238
89.650000 0.000000 0.993336
89.750000 0.000000 0.993435
89.850000 0.000000 0.993536
89.950000 0.000000 0.993638
90.050000 0.000000 0.993743
90.150000 0.000000 0.993848
90.250000 0.000000 0.993956
90.350000 0.000000 0.994065
90.450000 0.000000 0.994176
90.550000 0.000000 0.994288
90.650000 0.000000 0.994402
90.750000 0.000000 0.994518
90.850000 0.000000 0.994635
90.950000 0.000000 0.994753
91.050000 0.000000 0.994873
91.150000 0.000000 0.994992
91.250000 0.000000 0.995113
91.350000 0.000000 0.995233
91.450000 0.000000 0.995352
91.550000 0.000000 0.995470
91.650000 0.000000 0.995587
91.750000 0.000000 0.995703
91.850000 0.000000 0.995817
91.950000 0.000000 0.995929
92.050000 0.000000 0.996040
92.150000 0.000000 0.996149
92.250000 0.000000 0.996257
92.350000 0.000000 0.996362
92.450000 0.000000 0.996467
92.550000 0.000000 0.996569
92.650000 0.000000 0.996670
92.750000 0.000000 0.996769
92.850000 0.000000 0.996867
92.950000 0.000000 0.996963
93.050000 0.000000 0.997057
93.150000 0.000000 0.997150
93.250000 0.000000 0.997241
93.350000 0.000000 0.997330
93.450000 0.000000 0.997418
93.550000 0.000000 0.997504
93.650000 0.000000 0.997588
93.750000 0.000000 0.997671
93.850000 0.000000 0.997752
93.950000 0.000000 0.997831
94.050000 0.000000 0.997909
94.150000 0.000000 0.997985
94.250000 0.000000 0.998059
