s PU PA FAR FRR Ps
3.6273 1.4028 0.0000 0.0000 0.6938 0.3062
3.6373 1.3869 0.0000 0.0000 0.7077 0.2923
3.6473 1.3698 0.0000 0.0000 0.7214 0.2786
3.6573 1.3515 0.0000 0.0000 0.7349 0.2651
3.6673 1.3320 0.0000 0.0000 0.7483 0.2517
3.6774 1.3113 0.0000 0.0000 0.7614 0.2386
3.6874 1.2893 0.0000 0.0000 0.7744 0.2256
3.6974 1.2662 0.0000 0.0000 0.7870 0.2130
3.7074 1.2419 0.0000 0.0000 0.7995 0.2005
3.7174 1.2163 0.0000 0.0000 0.8117 0.1883
3.7275 1.1896 0.0000 0.0000 0.8236 0.1764
3.7375 1.1616 0.0000 0.0000 0.8352 0.1648
3.7475 1.1325 0.0000 0.0000 0.8466 0.1534
3.7575 1.1021 0.0000 0.0000 0.8576 0.1424
3.7675 1.0705 0.0000 0.0000 0.8683 0.1317
3.7776 1.0378 0.0000 0.0000 0.8787 0.1213
3.7876 1.0038 0.0000 0.0000 0.8888 0.1112
3.7976 0.9686 0.0000 0.0000 0.8985 0.1015
3.8076 0.9322 0.0000 0.0000 0.9078 0.0922
3.8176 0.8946 0.0000 0.0000 0.9168 0.0832
3.8277 0.8559 0.0000 0.0000 0.9254 0.0746
3.8377 0.8159 0.0000 0.0000 0.9336 0.0664
3.8477 0.7746 0.0000 0.0000 0.9413 0.0587
3.8577 0.7322 0.0000 0.0000 0.9487 0.0513
3.8677 0.6886 0.0000 0.0000 0.9556 0.0444
3.8778 0.6438 0.0000 0.0000 0.9620 0.0380
3.8878 0.5978 0.0000 0.0000 0.9680 0.0320
3.8978 0.5506 0.0000 0.0000 0.9735 0.0265
3.9078 0.5021 0.0000 0.0000 0.9785 0.0215
3.9178 0.4525 0.0000 0.0000 0.9831 0.0169
3.9279 0.4016 0.0000 0.0000 0.9871 0.0129
3.9379 0.3496 0.0000 0.0000 0.9906 0.0094
3.9479 0.2963 0.0000 0.0000 0.9936 0.0064
3.9579 0.2419 0.0000 0.0000 0.9960 0.0040
3.9679 0.1862 0.0000 0.0000 0.9979 0.0021
3.9780 0.1293 0.0000 0.0000 0.9992 0.0008
3.9880 0.0713 0.0000 0.0000 0.9999 0.0001
3.9980 0.0120 0.0000 0.0000 1.0000 0.0000
4.0080 0.0000 0.0000 0.0000 1.0000 0.0000
4.0180 0.0000 0.0000 0.0000 1.0000 0.0000
4.0281 0.0000 0.0000 0.0000 1.0000 0.0000
4.0381 0.0000 0.0000 0.0000 1.0000 0.0000
4.0481 0.0000 0.0000 0.0000 1.0000 0.0000
4.0581 0.0000 0.0000 0.0000 1.0000 0.0000
4.0681 0.0000 0.0000 0.0000 1.0000 0.0000
4.0782 0.0000 0.0000 0.0000 1.0000 0.0000
4.0882 0.0000 0.0000 0.0000 1.0000 0.0000
4.0982 0.0000 0.0000 0.0000 1.0000 0.0000
4.1082 0.0000 0.0000 0.0000 1.0000 0.0000
4.1182 0.0000 0.0000 0.0000 1.0000 0.0000
4.1283 0.0000 0.0000 0.0000 1.0000 0.0000
4.1383 0.0000 0.0000 0.0000 1.0000 0.0000
4.1483 0.0000 0.0000 0.0000 1.0000 0.0000
4.1583 0.0000 0.0000 0.0000 1.0000 0.0000
4.1683 0.0000 0.0000 0.0000 1.0000 0.0000
4.1784 0.0000 0.0000 0.0000 1.0000 0.0000
4.1884 0.0000 0.0000 0.0000 1.0000 0.0000
4.1984 0.0000 0.0000 0.0000 1.0000 0.0000
4.2084 0.0000 0.0000 0.0000 1.0000 0.0000
4.2184 0.0000 0.0000 0.0000 1.0000 0.0000
4.2285 0.0000 0.0000 0.0000 1.0000 0.0000
4.2385 0.0000 0.0000 0.0000 1.0000 0.0000
4.2485 0.0000 0.0000 0.0000 1.0000 0.0000
4.2585 0.0000 0.0000 0.0000 1.0000 0.0000
4.2685 0.0000 0.0000 0.0000 1.0000 0.0000
4.2786 0.0000 0.0000 0.0000 1.0000 0.0000
4.2886 0.0000 0.0000 0.0000 1.0000 0.0000
4.2986 0.0000 0.0000 0.0000 1.0000 0.0000
4.3086 0.0000 0.0000 0.0000 1.0000 0.0000
4.3186 0.0000 0.0000 0.0000 1.0000 0.0000
4.3287 0.0000 0.0000 0.0000 1.0000 0.0000
4.3387 0.0000 0.0000 0.0000 1.0000 0.0000
4.3487 0.0000 0.0000 0.0000 1.0000 0.0000
4.3587 0.0000 0.0000 0.0000 1.0000 0.0000
4.3687 0.0000 0.0000 0.0000 1.0000 0.0000
4.3788 0.0000 0.0000 0.0000 1.0000 0.0000
4.3888 0.0000 0.0000 0.0000 1.0000 0.0000
4.3988 0.0000 0.0000 0.0000 1.0000 0.0000
4.4088 0.0000 0.0000 0.0000 1.0000 0.0000
4.4188 0.0000 0.0000 0.0000 1.0000 0.0000
4.4289 0.0000 0.0000 0.0000 1.0000 0.0000
4.4389 0.0000 0.0000 0.0000 1.0000 0.0000
4.4489 0.0000 0.0000 0.0000 1.0000 0.0000
4.4589 0.0000 0.0000 0.0000 1.0000 0.0000
4.4689 0.0000 0.0000 0.0000 1.0000 0.0000
4.4790 0.0000 0.0000 0.0000 1.0000 0.0000
4.4890 0.0000 0.0000 0.0000 1.0000 0.0000
4.4990 0.0000 0.0000 0.0000 1.0000 0.0000
4.5090 0.0000 0.0000 0.0000 1.0000 0.0000
4.5190 0.0000 0.0000 0.0000 1.0000 0.0000
4.5291 0.0000 0.0000 0.0000 1.0000 0.0000
4.5391 0.0000 0.0000 0.0000 1.0000 0.0000
4.5491 0.0000 0.0000 0.0000 1.0000 0.0000
4.5591 0.0000 0.0000 0.0000 1.0000 0.0000
4.5691 0.0000 0.0000 0.0000 1.0000 0.0000
4.5792 0.0000 0.0000 0.0000 1.0000 0.0000
4.5892 0.0000 0.0000 0.0000 1.0000 0.0000
4.5992 0.0000 0.0000 0.0000 1.0000 0.0000
4.6092 0.0000 0.0000 0.0000 1.0000 0.0000
4.6192 0.0000 0.0000 0.0000 1.0000 0.0000
4.6293 0.0000 0.0000 0.0000 1.0000 0.0000
4.6393 0.0000 0.0000 0.0000 1.0000 0.0000
