s PU1 PA1 PU2 PA2
-0.2781 0.0000 0.0016 0.0000 0.0018
-0.2766 0.0000 0.0016 0.0000 0.0019
-0.2750 0.0000 0.0017 0.0000 0.0020
-0.2735 0.0000 0.0018 0.0000 0.0020
-0.2719 0.0000 0.0019 0.0000 0.0021
-0.2704 0.0000 0.0019 0.0000 0.0022
-0.2688 0.0000 0.0020 0.0000 0.0022
-0.2673 0.0000 0.0021 0.0000 0.0023
-0.2657 0.0000 0.0022 0.0000 0.0024
-0.2642 0.0000 0.0023 0.0000 0.0024
-0.2626 0.0000 0.0023 0.0000 0.0025
-0.2611 0.0000 0.0024 0.0000 0.0026
-0.2595 0.0000 0.0025 0.0000 0.0027
-0.2580 0.0000 0.0026 0.0000 0.0028
-0.2564 0.0000 0.0027 0.0000 0.0029
-0.2549 0.0000 0.0028 0.0000 0.0030
-0.2533 0.0000 0.0030 0.0000 0.0031
-0.2518 0.0000 0.0031 0.0000 0.0032
-0.2502 0.0000 0.0032 0.0000 0.0033
-0.2487 0.0000 0.0033 0.0000 0.0034
-0.2471 0.0000 0.0034 0.0000 0.0035
-0.2456 0.0000 0.0036 0.0000 0.0036
-0.2440 0.0000 0.0037 0.0000 0.0037
-0.2425 0.0000 0.0038 0.0000 0.0038
-0.2409 0.0000 0.0040 0.0000 0.0039
-0.2394 0.0000 0.0041 0.0000 0.0040
-0.2378 0.0000 0.0043 0.0000 0.0042
-0.2363 0.0000 0.0045 0.0000 0.0043
-0.2347 0.0000 0.0046 0.0000 0.0044
-0.2332 0.0000 0.0048 0.0000 0.0046
-0.2316 0.0000 0.0050 0.0000 0.0047
-0.2301 0.0000 0.0052 0.0000 0.0048
-0.2285 0.0000 0.0054 0.0000 0.0050
-0.2270 0.0000 0.0056 0.0000 0.0051
-0.2254 0.0000 0.0058 0.0000 0.0053
-0.2239 0.0000 0.0060 0.0000 0.0055
-0.2223 0.0000 0.0062 0.0000 0.0056
-0.2208 0.0000 0.0064 0.0000 0.0058
-0.2192 0.0000 0.0067 0.0000 0.0060
-0.2177 0.0000 0.0069 0.0000 0.0061
-0.2161 0.0000 0.0071 0.0000 0.0063
-0.2146 0.0000 0.0074 0.0000 0.0065
-0.2130 0.0000 0.0077 0.0000 0.0067
-0.2115 0.0000 0.0079 0.0000 0.0069
-0.2099 0.0000 0.0082 0.0000 0.0071
-0.2084 0.0000 0.0085 0.0000 0.0073
-0.2068 0.0000 0.0088 0.0000 0.0075
-0.2053 0.0000 0.0091 0.0000 0.0078
-0.2037 0.0000 0.0095 0.0000 0.0080
-0.2022 0.0000 0.0098 0.0000 0.0082
-0.2006 0.0000 0.0101 0.0000 0.0085
-0.1990 0.0000 0.0105 0.0000 0.0087
-0.1975 0.0000 0.0109 0.0000 0.0090
-0.1959 0.0000 0.0112 0.0000 0.0092
-0.1944 0.0000 0.0116 0.0000 0.0095
-0.1928 0.0000 0.0120 0.0000 0.0098
-0.1913 0.0000 0.0125 0.0000 0.0101
-0.1897 0.0000 0.0129 0.0000 0.0103
-0.1882 0.0000 0.0133 0.0000 0.0106
-0.1866 0.0000 0.0138 0.0000 0.0109
-0.1851 0.0000 0.0142 0.0000 0.0113
-0.1835 0.0000 0.0147 0.0000 0.0116
-0.1820 0.0000 0.0152 0.0000 0.0119
-0.1804 0.0000 0.0157 0.0000 0.0122
-0.1789 0.0000 0.0163 0.0000 0.0126
-0.1773 0.0000 0.0168 0.0000 0.0129
-0.1758 0.0000 0.0174 0.0000 0.0133
-0.1742 0.0000 0.0180 0.0000 0.0137
-0.1727 0.0000 0.0186 0.0000 0.0140
-0.1711 0.0000 0.0192 0.0000 0.0144
-0.1696 0.0000 0.0198 0.0000 0.0148
-0.1680 0.0000 0.0205 0.0000 0.0152
-0.1665 0.0000 0.0211 0.0000 0.0157
-0.1649 0.0000 0.0218 0.0000 0.0161
-0.1634 0.0000 0.0225 0.0000 0.0165
-0.1618 0.0000 0.0232 0.0000 0.0170
-0.1603 0.0000 0.0240 0.0000 0.0174
-0.1587 0.0000 0.0248 0.0000 0.0179
-0.1572 0.0000 0.0256 0.0000 0.0184
-0.1556 0.0000 0.0264 0.0000 0.0189
-0.1541 0.0000 0.0272 0.0000 0.0194
-0.1525 0.0000 0.0281 0.0000 0.0199
-0.1510 0.0000 0.0290 0.0000 0.0205
-0.1494 0.0000 0.0299 0.0000 0.0210
-0.1479 0.0000 0.0308 0.0000 0.0216
-0.1463 0.0000 0.0318 0.0000 0.0221
-0.1448 0.0000 0.0328 0.0000 0.0227
-0.1432 0.0000 0.0338 0.0000 0.0233
-0.1417 0.0000 0.0348 0.0000 0.0239
-0.1401 0.0000 0.0359 0.0000 0.0246
-0.1386 0.0000 0.0370 0.0000 0.0252
-0.1370 0.0000 0.0382 0.0000 0.0259
-0.1355 0.0000 0.0393 0.0000 0.0265
-0.1339 0.0000 0.0405 0.0000 0.0272
-0.1324 0.0000 0.0418 0.0000 0.0279
-0.1308 0.0000 0.0430 0.0000 0.0287
-0.1293 0.0000 0.0443 0.0000 0.0294
-0.1277 0.0000 0.0456 0.0000 0.0301
-0.1262 0.0000 0.0470 0.0000 0.0309
-0.1246 0.0000 0.0484 0.0000 0.0317
-0.1231 0.0000 0.0498 0.0000 0.0325
-0.1215 0.0000 0.0513 0.0000 0.0333
-0.1200 0.0000 0.0528 0.0000 0.0342
-0.1184 0.0000 0.0544 0.0000 0.0350
-0.1169 0.0000 0.0559 0.0000 0.0359
-0.1153 0.0000 0.0576 0.0000 0.0368
-0.1138 0.0000 0.0592 0.0000 0.0377
-0.1122 0.0000 0.0610 0.0000 0.0387
-0.1107 0.0000 0.0627 0.0000 0.0396
-0.1091 0.0000 0.0645 0.0000 0.0406
-0.1076 0.0000 0.0663 0.0000 0.0416
-0.1060 0.0000 0.0682 0.0000 0.0426
-0.1045 0.0000 0.0702 0.0000 0.0437
-0.1029 0.0000 0.0721 0.0000 0.0447
-0.1014 0.0000 0.0742 0.0000 0.0458
-0.0998 0.0000 0.0762 0.0000 0.0469
-0.0982 0.0000 0.0784 0.0000 0.0481
-0.0967 0.0000 0.0805 0.0000 0.0492
-0.0951 0.0000 0.0828 0.0000 0.0504
-0.0936 0.0000 0.0851 0.0000 0.0516
-0.0920 0.0000 0.0874 0.0000 0.0528
-0.0905 0.0000 0.0898 0.0000 0.0541
-0.0889 0.0000 0.0922 0.0000 0.0554
-0.0874 0.0000 0.0947 0.0000 0.0567
-0.0858 0.0000 0.0973 0.0000 0.0580
-0.0843 0.0000 0.0999 0.0000 0.0594
-0.0827 0.0000 0.1026 0.0000 0.0608
-0.0812 0.0000 0.1053 0.0000 0.0622
-0.0796 0.0000 0.1081 0.0000 0.0636
-0.0781 0.0000 0.1110 0.0000 0.0651
-0.0765 0.0000 0.1139 0.0000 0.0666
-0.0750 0.0000 0.1169 0.0000 0.0682
-0.0734 0.0000 0.1199 0.0000 0.0697
-0.0719 0.0000 0.1231 0.0000 0.0713
