T1 FAR1 FRR1 T2 FAR2 FRR2
-0.35377689 0.99999345 0.00000000 -0.47883942 0.99999948 0.00000000
-0.35262631 0.99999322 0.00000000 -0.47733867 0.99999945 0.00000000
-0.35147574 0.99999298 0.00000000 -0.47583792 0.99999943 0.00000000
-0.35032516 0.99999273 0.00000000 -0.47433717 0.99999941 0.00000000
-0.34917459 0.99999247 0.00000000 -0.47283642 0.99999938 0.00000000
-0.34802401 0.99999220 0.00000000 -0.47133567 0.99999935 0.00000000
-0.34687344 0.99999193 0.00000000 -0.46983492 0.99999933 0.00000000
-0.34572286 0.99999164 0.00000000 -0.46833417 0.99999930 0.00000000
-0.34457229 0.99999135 0.00000000 -0.46683342 0.99999927 0.00000000
-0.34342171 0.99999105 0.00000000 -0.46533267 0.99999924 0.00000000
-0.34227114 0.99999073 0.00000000 -0.46383192 0.99999920 0.00000000
-0.34112056 0.99999041 0.00000000 -0.46233117 0.99999917 0.00000000
-0.33996998 0.99999007 0.00000000 -0.46083042 0.99999913 0.00000000
-0.33881941 0.99998972 0.00000000 -0.45932966 0.99999910 0.00000000
-0.33766883 0.99998937 0.00000000 -0.45782891 0.99999906 0.00000000
-0.33651826 0.99998899 0.00000000 -0.45632816 0.99999902 0.00000000
-0.33536768 0.99998861 0.00000000 -0.45482741 0.99999898 0.00000000
-0.33421711 0.99998822 0.00000000 -0.45332666 0.99999894 0.00000000
-0.33306653 0.99998781 0.00000000 -0.45182591 0.99999889 0.00000000
-0.33191596 0.99998739 0.00000000 -0.45032516 0.99999884 0.00000000
-0.33076538 0.99998695 0.00000000 -0.44882441 0.99999880 0.00000000
-0.32961481 0.99998650 0.00000000 -0.44732366 0.99999875 0.00000000
-0.32846423 0.99998604 0.00000000 -0.44582291 0.99999869 0.00000000
-0.32731366 0.99998556 0.00000000 -0.44432216 0.99999864 0.00000000
-0.32616308 0.99998506 0.00000000 -0.44282141 0.99999858 0.00000000
-0.32501251 0.99998455 0.00000000 -0.44132066 0.99999852 0.00000000
-0.32386193 0.99998402 0.00000000 -0.43981991 0.99999846 0.00000000
-0.32271136 0.99998348 0.00000000 -0.43831916 0.99999840 0.00000000
-0.32156078 0.99998292 0.00000000 -0.43681841 0.99999833 0.00000000
-0.32041021 0.99998233 0.00000000 -0.43531766 0.99999826 0.00000000
-0.31925963 0.99998173 0.00000000 -0.43381691 0.99999819 0.00000000
-0.31810905 0.99998112 0.00000000 -0.43231616 0.99999812 0.00000000
-0.31695848 0.99998048 0.00000000 -0.43081541 0.99999804 0.00000000
-0.31580790 0.99997982 0.00000000 -0.42931466 0.99999796 0.00000000
-0.31465733 0.99997914 0.00000000 -0.42781391 0.99999788 0.00000000
-0.31350675 0.99997844 0.00000000 -0.42631316 0.99999779 0.00000000
-0.31235618 0.99997771 0.00000000 -0.42481241 0.99999770 0.00000000
-0.31120560 0.99997696 0.00000000 -0.42331166 0.99999761 0.00000000
-0.31005503 0.99997619 0.00000000 -0.42181091 0.99999751 0.00000000
-0.30890445 0.99997540 0.00000000 -0.42031016 0.99999741 0.00000000
-0.30775388 0.99997458 0.00000000 -0.41880940 0.99999730 0.00000000
-0.30660330 0.99997373 0.00000000 -0.41730865 0.99999720 0.00000000
-0.30545273 0.99997286 0.00000000 -0.41580790 0.99999708 0.00000000
-0.30430215 0.99997195 0.00000000 -0.41430715 0.99999696 0.00000000
-0.30315158 0.99997103 0.00000000 -0.41280640 0.99999684 0.00000000
-0.30200100 0.99997007 0.00000000 -0.41130565 0.99999672 0.00000000
-0.30085043 0.99996908 0.00000000 -0.40980490 0.99999658 0.00000000
-0.29969985 0.99996806 0.00000000 -0.40830415 0.99999645 0.00000000
-0.29854927 0.99996701 0.00000000 -0.40680340 0.99999631 0.00000000
-0.29739870 0.99996593 0.00000000 -0.40530265 0.99999616 0.00000000
-0.29624812 0.99996481 0.00000000 -0.40380190 0.99999601 0.00000000
-0.29509755 0.99996366 0.00000000 -0.40230115 0.99999585 0.00000000
-0.29394697 0.99996247 0.00000000 -0.40080040 0.99999568 0.00000000
-0.29279640 0.99996125 0.00000000 -0.39929965 0.99999551 0.00000000
-0.29164582 0.99995998 0.00000000 -0.39779890 0.99999534 0.00000000
-0.29049525 0.99995868 0.00000000 -0.39629815 0.99999515 0.00000000
-0.28934467 0.99995734 0.00000000 -0.39479740 0.99999496 0.00000000
