x user attacker FAR FRR threshold
0.3634 0.0265 2.4847 0.0000 0.0265 0.5000
0.3644 0.0274 2.4834 0.0000 0.0274 0.5000
0.3654 0.0283 2.4819 0.0000 0.0283 0.5000
0.3664 0.0292 2.4804 0.0000 0.0292 0.5000
0.3674 0.0301 2.4787 0.0000 0.0301 0.5000
0.3684 0.0311 2.4770 0.0000 0.0311 0.5000
0.3694 0.0320 2.4752 0.0000 0.0320 0.5000
0.3704 0.0330 2.4733 0.0000 0.0330 0.5000
0.3714 0.0341 2.4712 0.0000 0.0341 0.5000
0.3724 0.0352 2.4691 0.0000 0.0352 0.5000
0.3734 0.0362 2.4669 0.0000 0.0362 0.5000
0.3744 0.0374 2.4646 0.0000 0.0374 0.5000
0.3754 0.0385 2.4622 0.0000 0.0385 0.5000
0.3764 0.0397 2.4597 0.0000 0.0397 0.5000
0.3774 0.0410 2.4572 0.0000 0.0410 0.5000
0.3784 0.0422 2.4545 0.0000 0.0422 0.5000
0.3794 0.0435 2.4517 0.0000 0.0435 0.5000
0.3804 0.0448 2.4488 0.0000 0.0448 0.5000
0.3814 0.0462 2.4459 0.0000 0.0462 0.5000
0.3824 0.0476 2.4428 0.0000 0.0476 0.5000
0.3834 0.0490 2.4397 0.0000 0.0490 0.5000
0.3844 0.0505 2.4365 0.0000 0.0505 0.5000
0.3854 0.0520 2.4332 0.0000 0.0520 0.5000
0.3864 0.0536 2.4297 0.0000 0.0536 0.5000
0.3874 0.0552 2.4262 0.0000 0.0552 0.5000
0.3884 0.0568 2.4226 0.0000 0.0568 0.5000
0.3894 0.0585 2.4190 0.0000 0.0585 0.5000
0.3904 0.0602 2.4152 0.0000 0.0602 0.5000
0.3914 0.0620 2.4113 0.0000 0.0620 0.5000
0.3924 0.0638 2.4074 0.0000 0.0638 0.5000
0.3934 0.0656 2.4034 0.0000 0.0656 0.5000
0.3944 0.0676 2.3992 0.0000 0.0676 0.5000
0.3954 0.0695 2.3950 0.0000 0.0695 0.5000
0.3964 0.0715 2.3907 0.0000 0.0715 0.5000
0.3974 0.0736 2.3864 0.0000 0.0736 0.5000
0.3984 0.0757 2.3819 0.0000 0.0757 0.5000
0.3994 0.0778 2.3773 0.0000 0.0778 0.5000
0.4004 0.0800 2.3727 0.0000 0.0800 0.5000
0.4014 0.0823 2.3680 0.0000 0.0823 0.5000
0.4024 0.0846 2.3632 0.0000 0.0846 0.5000
0.4034 0.0870 2.3583 0.0000 0.0870 0.5000
0.4044 0.0895 2.3533 0.0000 0.0895 0.5000
0.4054 0.0920 2.3483 0.0000 0.0920 0.5000
0.4064 0.0945 2.3432 0.0000 0.0945 0.5000
0.4074 0.0971 2.3380 0.0000 0.0971 0.5000
0.4084 0.0998 2.3327 0.0000 0.0998 0.5000
0.4094 0.1026 2.3273 0.0000 0.1026 0.5000
0.4104 0.1054 2.3219 0.0000 0.1054 0.5000
0.4114 0.1082 2.3163 0.0000 0.1082 0.5000
0.4124 0.1112 2.3107 0.0000 0.1112 0.5000
0.4134 0.1142 2.3051 0.0000 0.1142 0.5000
0.4144 0.1173 2.2993 0.0000 0.1173 0.5000
0.4154 0.1204 2.2935 0.0000 0.1204 0.5000
0.4164 0.1237 2.2876 0.0000 0.1237 0.5000
0.4174 0.1270 2.2816 0.0000 0.1270 0.5000
0.4184 0.1303 2.2755 0.0000 0.1303 0.5000
0.4194 0.1338 2.2694 0.0000 0.1338 0.5000
0.4204 0.1373 2.2632 0.0000 0.1373 0.5000
0.4214 0.1409 2.2569 0.0000 0.1409 0.5000
0.4224 0.1446 2.2506 0.0000 0.1446 0.5000
0.4234 0.1484 2.2442 0.0000 0.1484 0.5000
0.4244 0.1522 2.2377 0.0000 0.1522 0.5000
0.4254 0.1562 2.2312 0.0000 0.1562 0.5000
0.4264 0.1602 2.2246 0.0000 0.1602 0.5000
0.4274 0.1643 2.2179 0.0000 0.1643 0.5000
0.4284 0.1685 2.2111 0.0000 0.1685 0.5000
0.4294 0.1728 2.2043 0.0000 0.1728 0.5000
0.4304 0.1772 2.1974 0.0000 0.1772 0.5000
0.4314 0.1817 2.1905 0.0000 0.1817 0.5000
0.4324 0.1862 2.1835 0.0000 0.1862 0.5000
0.4334 0.1909 2.1764 0.0000 0.1909 0.5000
0.4344 0.1956 2.1693 0.0000 0.1956 0.5000
0.4354 0.2005 2.1621 0.0000 0.2005 0.5000
0.4364 0.2055 2.1548 0.0000 0.2055 0.5000
0.4374 0.2105 2.1475 0.0000 0.2105 0.5000
0.4384 0.2157 2.1402 0.0000 0.2157 0.5000
0.4394 0.2209 2.1327 0.0000 0.2209 0.5000
0.4404 0.2263 2.1252 0.0000 0.2263 0.5000
0.4414 0.2318 2.1177 0.0000 0.2318 0.5000
0.4424 0.2374 2.1101 0.0000 0.2374 0.5000
0.4434 0.2431 2.1024 0.0000 0.2431 0.5000
0.4444 0.2489 2.0947 0.0000 0.2489 0.5000
0.4454 0.2548 2.0870 0.0000 0.2548 0.5000
0.4464 0.2609 2.0792 0.0000 0.2609 0.5000
0.4474 0.2670 2.0713 0.0000 0.2670 0.5000
0.4484 0.2733 2.0634 0.0000 0.2733 0.5000
0.4494 0.2797 2.0554 0.0000 0.2797 0.5000
0.4505 0.2862 2.0474 0.0000 0.2862 0.5000
0.4515 0.2929 2.0393 0.0000 0.2929 0.5000
0.4525 0.2996 2.0312 0.0000 0.2996 0.5000
0.4535 0.3065 2.0231 0.0000 0.3065 0.5000
0.4545 0.3135 2.0148 0.0000 0.3135 0.5000
0.4555 0.3207 2.0066 0.0000 0.3207 0.5000
0.4565 0.3279 1.9983 0.0000 0.3279 0.5000
0.4575 0.3353 1.9900 0.0000 0.3353 0.5000
