T1 P_and_T1 P_or_T1 T2 P_and_T2 P_or_T2
-0.19384692 0.75523017 0.00049335 -0.27023512 0.91953535 0.00009677
-0.19269635 0.75523341 0.00050697 -0.26873437 0.91953558 0.00010002
-0.19154577 0.75523672 0.00052095 -0.26723362 0.91953582 0.00010337
-0.19039520 0.75524012 0.00053528 -0.26573287 0.91953607 0.00010682
-0.18924462 0.75524361 0.00054998 -0.26423212 0.91953632 0.00011038
-0.18809405 0.75524719 0.00056505 -0.26273137 0.91953659 0.00011406
-0.18694347 0.75525086 0.00058049 -0.26123062 0.91953686 0.00011785
-0.18579290 0.75525462 0.00059633 -0.25972986 0.91953714 0.00012175
-0.18464232 0.75525847 0.00061257 -0.25822911 0.91953743 0.00012578
-0.18349175 0.75526242 0.00062921 -0.25672836 0.91953773 0.00012993
-0.18234117 0.75526647 0.00064627 -0.25522761 0.91953803 0.00013421
