T P_and P_or
35.500000 0.463604 0.804542
35.600000 0.462653 0.804430
35.700000 0.461730 0.804321
35.800000 0.460835 0.804216
35.900000 0.459968 0.804114
36.000000 0.459128 0.804015
36.100000 0.458317 0.803920
36.200000 0.457533 0.803827
36.300000 0.456778 0.803739
36.400000 0.456050 0.803653
36.500000 0.455349 0.803570
36.600000 0.454674 0.803491
36.700000 0.454023 0.803415
36.800000 0.453395 0.803341
36.900000 0.452787 0.803269
37.000000 0.452194 0.803199
37.100000 0.451613 0.803131
37.200000 0.451041 0.803064
37.300000 0.450475 0.802997
37.400000 0.449912 0.802931
37.500000 0.449351 0.802865
37.600000 0.448791 0.802799
37.700000 0.448231 0.802733
37.800000 0.447671 0.802667
37.900000 0.447112 0.802601
38.000000 0.446552 0.802536
38.100000 0.445992 0.802470
38.200000 0.445433 0.802404
38.300000 0.444873 0.802338
38.400000 0.444313 0.802272
38.500000 0.443752 0.802206
38.600000 0.443189 0.802140
38.700000 0.442622 0.802073
38.800000 0.442050 0.802006
38.900000 0.441470 0.801938
39.000000 0.440877 0.801868
39.100000 0.440268 0.801796
39.200000 0.439640 0.801722
39.300000 0.438990 0.801646
39.400000 0.438315 0.801566
39.500000 0.437614 0.801484
39.600000 0.436886 0.801398
39.700000 0.436130 0.801309
39.800000 0.435347 0.801217
39.900000 0.434535 0.801122
40.000000 0.433696 0.801023
40.100000 0.432829 0.800921
40.200000 0.431934 0.800816
40.300000 0.431011 0.800707
40.400000 0.430060 0.800595
40.500000 0.429082 0.800480
40.600000 0.428078 0.800362
40.700000 0.427050 0.800241
40.800000 0.425999 0.800118
40.900000 0.424929 0.799992
41.000000 0.423843 0.799864
41.100000 0.422745 0.799735
41.200000 0.421638 0.799605
41.300000 0.420526 0.799474
41.400000 0.419410 0.799342
41.500000 0.418293 0.799211
41.600000 0.417174 0.799079
41.700000 0.416056 0.798948
41.800000 0.414936 0.798816
41.900000 0.413817 0.798684
42.000000 0.412698 0.798553
42.100000 0.411579 0.798421
42.200000 0.410460 0.798289
42.300000 0.409340 0.798158
42.400000 0.408221 0.798026
42.500000 0.407100 0.797894
42.600000 0.405977 0.797762
42.700000 0.404851 0.797630
42.800000 0.403720 0.797496
42.900000 0.402580 0.797362
43.000000 0.401427 0.797227
43.100000 0.400259 0.797089
43.200000 0.399072 0.796950
43.300000 0.397862 0.796807
43.400000 0.396627 0.796662
43.500000 0.395367 0.796514
43.600000 0.394079 0.796362
43.700000 0.392764 0.796208
43.800000 0.391421 0.796050
43.900000 0.390050 0.795888
44.000000 0.388651 0.795724
44.100000 0.387224 0.795556
44.200000 0.385769 0.795385
44.300000 0.384287 0.795210
44.400000 0.382778 0.795033
44.500000 0.381242 0.794852
44.600000 0.379682 0.794668
44.700000 0.378101 0.794482
44.800000 0.376503 0.794294
44.900000 0.374894 0.794105
45.000000 0.373282 0.793916
45.100000 0.371673 0.793726
45.200000 0.370075 0.793538
45.300000 0.368494 0.793352
45.400000 0.366934 0.793169
45.500000 0.365399 0.792988
45.600000 0.363889 0.792810
45.700000 0.362407 0.792636
45.800000 0.360952 0.792465
45.900000 0.359525 0.792297
46.000000 0.358126 0.792133
46.100000 0.356755 0.791971
46.200000 0.355413 0.791813
46.300000 0.354098 0.791659
46.400000 0.352811 0.791507
46.500000 0.351551 0.791359
46.600000 0.350320 0.791214
46.700000 0.349117 0.791073
46.800000 0.347942 0.790934
46.900000 0.346795 0.790799
47.000000 0.345676 0.790668
47.100000 0.344585 0.790539
47.200000 0.343522 0.790414
47.300000 0.342487 0.790293
47.400000 0.341479 0.790174
47.500000 0.340500 0.790059
47.600000 0.339549 0.789947
47.700000 0.338625 0.789838
47.800000 0.337730 0.789733
47.900000 0.336863 0.789631
48.000000 0.336023 0.789532
48.100000 0.335212 0.789437
48.200000 0.334429 0.789345
48.300000 0.333673 0.789256
48.400000 0.332945 0.789170
48.500000 0.332244 0.789088
48.600000 0.331569 0.789008
48.700000 0.330919 0.788932
48.800000 0.330291 0.788858
48.900000 0.329682 0.788786
49.000000 0.329089 0.788716
49.100000 0.328509 0.788648
49.200000 0.327937 0.788581
49.300000 0.327370 0.788514
49.400000 0.326807 0.788448
49.500000 0.326246 0.788382
49.600000 0.325686 0.788316
49.700000 0.325126 0.788250
49.800000 0.324566 0.788184
49.900000 0.324007 0.788118
50.000000 0.323447 0.788053
50.100000 0.322888 0.787987
50.200000 0.322328 0.787921
50.300000 0.321769 0.787855
50.400000 0.321209 0.787789
50.500000 0.320649 0.787723
50.600000 0.320090 0.787658
50.700000 0.319530 0.787592
50.800000 0.318971 0.787526
50.900000 0.318411 0.787460
51.000000 0.317852 0.787394
51.100000 0.317292 0.787328
51.200000 0.316732 0.787263
51.300000 0.316173 0.787197
51.400000 0.315613 0.787131
51.500000 0.315054 0.787065
51.600000 0.314494 0.786999
51.700000 0.313935 0.786933
51.800000 0.313375 0.786868
51.900000 0.312816 0.786802
52.000000 0.312256 0.786736
52.100000 0.311696 0.786670
52.200000 0.311137 0.786604
52.300000 0.310576 0.786538
52.400000 0.310016 0.786472
52.500000 0.309453 0.786406
52.600000 0.308886 0.786340
52.700000 0.308313 0.786272
52.800000 0.307729 0.786203
52.900000 0.307127 0.786133
53.000000 0.306501 0.786059
53.100000 0.305844 0.785982
53.200000 0.305147 0.785900
53.300000 0.304406 0.785813
53.400000 0.303616 0.785720
53.500000 0.302774 0.785620
53.600000 0.301877 0.785515
53.700000 0.300925 0.785403
53.800000 0.299918 0.785284
53.900000 0.298854 0.785159
54.000000 0.297735 0.785028
54.100000 0.296560 0.784889
54.200000 0.295330 0.784745
54.300000 0.294044 0.784593
54.400000 0.292703 0.784436
54.500000 0.291311 0.784272
54.600000 0.289870 0.784102
54.700000 0.288386 0.783928
54.800000 0.286869 0.783749
54.900000 0.285330 0.783568
55.000000 0.283784 0.783386
55.100000 0.282246 0.783205
55.200000 0.280729 0.783027
55.300000 0.279245 0.782852
55.400000 0.277804 0.782683
55.500000 0.276411 0.782519
55.600000 0.275071 0.782361
55.700000 0.273785 0.782210
55.800000 0.272554 0.782065
55.900000 0.271379 0.781927
56.000000 0.270260 0.781795
56.100000 0.269197 0.781670
56.200000 0.268190 0.781552
56.300000 0.267238 0.781440
56.400000 0.266341 0.781334
56.500000 0.265499 0.781235
56.600000 0.264708 0.781142
56.700000 0.263967 0.781055
56.800000 0.263271 0.780973
56.900000 0.262613 0.780896
57.000000 0.261988 0.780822
57.100000 0.261386 0.780751
57.200000 0.260801 0.780683
57.300000 0.260228 0.780615
57.400000 0.259662 0.780548
57.500000 0.259099 0.780482
57.600000 0.258538 0.780416
57.700000 0.257978 0.780350
57.800000 0.257418 0.780285
57.900000 0.256859 0.780219
58.000000 0.256299 0.780153
58.100000 0.255740 0.780087
58.200000 0.255180 0.780021
58.300000 0.254621 0.779955
58.400000 0.254061 0.779890
58.500000 0.253501 0.779824
58.600000 0.252942 0.779758
58.700000 0.252382 0.779692
58.800000 0.251823 0.779626
58.900000 0.251263 0.779560
59.000000 0.250704 0.779495
59.100000 0.250144 0.779429
59.200000 0.249584 0.779363
59.300000 0.249025 0.779297
59.400000 0.248465 0.779231
59.500000 0.247906 0.779165
59.600000 0.247346 0.779100
59.700000 0.246787 0.779034
59.800000 0.246227 0.778968
59.900000 0.245667 0.778902
60.000000 0.245108 0.778836
60.100000 0.244548 0.778770
60.200000 0.243989 0.778705
60.300000 0.243429 0.778639
60.400000 0.242869 0.778573
60.500000 0.242307 0.778507
60.600000 0.241744 0.778441
60.700000 0.241178 0.778374
60.800000 0.240606 0.778307
60.900000 0.240025 0.778238
61.000000 0.239433 0.778169
61.100000 0.238824 0.778097
61.200000 0.238196 0.778023
61.300000 0.237546 0.777947
61.400000 0.236871 0.777867
61.500000 0.236170 0.777785
61.600000 0.235442 0.777699
61.700000 0.234686 0.777610
61.800000 0.233903 0.777518
61.900000 0.233091 0.777423
62.000000 0.232252 0.777324
62.100000 0.231385 0.777222
62.200000 0.230489 0.777116
62.300000 0.229566 0.777008
62.400000 0.228616 0.776896
62.500000 0.227639 0.776781
62.600000 0.226636 0.776663
62.700000 0.225609 0.776542
62.800000 0.224561 0.776419
62.900000 0.223497 0.776294
63.000000 0.222419 0.776167
63.100000 0.221333 0.776039
63.200000 0.220244 0.775911
63.300000 0.219154 0.775783
63.400000 0.218067 0.775655
63.500000 0.216985 0.775528
63.600000 0.215908 0.775401
63.700000 0.214839 0.775275
63.800000 0.213776 0.775150
63.900000 0.212719 0.775026
64.000000 0.211670 0.774902
64.100000 0.210628 0.774780
64.200000 0.209593 0.774658
64.300000 0.208565 0.774537
64.400000 0.207543 0.774417
64.500000 0.206529 0.774298
64.600000 0.205522 0.774179
64.700000 0.204522 0.774061
64.800000 0.203529 0.773945
64.900000 0.202542 0.773829
65.000000 0.201563 0.773713
65.100000 0.200591 0.773599
65.200000 0.199626 0.773485
65.300000 0.198667 0.773373
65.400000 0.197716 0.773261
65.500000 0.196772 0.773150
65.600000 0.195834 0.773039
65.700000 0.194904 0.772930
65.800000 0.193981 0.772821
65.900000 0.193065 0.772713
66.000000 0.192155 0.772607
66.100000 0.191253 0.772500
66.200000 0.190358 0.772395
66.300000 0.189469 0.772291
66.400000 0.188588 0.772187
66.500000 0.187714 0.772084
66.600000 0.186846 0.771982
66.700000 0.185986 0.771881
66.800000 0.185133 0.771780
66.900000 0.184286 0.771681
67.000000 0.183447 0.771582
67.100000 0.182615 0.771484
67.200000 0.181789 0.771387
67.300000 0.180971 0.771291
67.400000 0.180160 0.771195
67.500000 0.179355 0.771101
67.600000 0.178558 0.771007
67.700000 0.177767 0.770914
67.800000 0.176984 0.770822
67.900000 0.176208 0.770730
68.000000 0.175438 0.770640
68.100000 0.174676 0.770550
68.200000 0.173920 0.770461
68.300000 0.173172 0.770373
68.400000 0.172431 0.770286
68.500000 0.171696 0.770200
68.600000 0.170969 0.770114
68.700000 0.170248 0.770029
68.800000 0.169535 0.769945
68.900000 0.168828 0.769862
69.000000 0.168129 0.769780
69.100000 0.167436 0.769698
69.200000 0.166751 0.769618
69.300000 0.166073 0.769538
69.400000 0.165401 0.769459
69.500000 0.164737 0.769381
69.600000 0.164079 0.769303
69.700000 0.163429 0.769227
69.800000 0.162785 0.769151
69.900000 0.162149 0.769076
70.000000 0.161519 0.769002
70.100000 0.160897 0.768929
70.200000 0.160281 0.768857
70.300000 0.159672 0.768785
70.400000 0.159071 0.768714
70.500000 0.158476 0.768644
70.600000 0.157887 0.768575
70.700000 0.157305 0.768506
70.800000 0.156728 0.768439
70.900000 0.156157 0.768371
71.000000 0.155589 0.768305
71.100000 0.155024 0.768238
71.200000 0.154461 0.768172
71.300000 0.153900 0.768106
71.400000 0.153340 0.768040
71.500000 0.152780 0.767974
71.600000 0.152220 0.767908
71.700000 0.151660 0.767842
71.800000 0.151101 0.767777
71.900000 0.150541 0.767711
72.000000 0.149981 0.767645
72.100000 0.149422 0.767579
72.200000 0.148862 0.767513
72.300000 0.148303 0.767447
72.400000 0.147743 0.767382
72.500000 0.147184 0.767316
72.600000 0.146624 0.767250
72.700000 0.146065 0.767184
72.800000 0.145505 0.767118
72.900000 0.144945 0.767052
73.000000 0.144386 0.766987
73.100000 0.143826 0.766921
73.200000 0.143267 0.766855
73.300000 0.142707 0.766789
73.400000 0.142148 0.766723
73.500000 0.141588 0.766657
73.600000 0.141028 0.766592
73.700000 0.140469 0.766526
73.800000 0.139909 0.766460
73.900000 0.139350 0.766394
74.000000 0.138790 0.766328
74.100000 0.138231 0.766262
74.200000 0.137671 0.766197
74.300000 0.137111 0.766131
74.400000 0.136552 0.766065
74.500000 0.135992 0.765999
74.600000 0.135433 0.765933
74.700000 0.134873 0.765867
74.800000 0.134314 0.765802
74.900000 0.133754 0.765736
75.000000 0.133194 0.765670
75.100000 0.132635 0.765604
75.200000 0.132075 0.765538
75.300000 0.131516 0.765472
75.400000 0.130956 0.765407
75.500000 0.130397 0.765341
75.600000 0.129837 0.765275
75.700000 0.129277 0.765209
75.800000 0.128718 0.765143
75.900000 0.128158 0.765077
76.000000 0.127599 0.765012
76.100000 0.127039 0.764946
76.200000 0.126480 0.764880
76.300000 0.125920 0.764814
76.400000 0.125361 0.764748
76.500000 0.124801 0.764682
76.600000 0.124241 0.764617
76.700000 0.123682 0.764551
76.800000 0.123122 0.764485
76.900000 0.122563 0.764419
77.000000 0.122003 0.764353
77.100000 0.121444 0.764287
77.200000 0.120884 0.764222
77.300000 0.120324 0.764156
77.400000 0.119765 0.764090
77.500000 0.119205 0.764024
77.600000 0.118646 0.763958
77.700000 0.118086 0.763892
77.800000 0.117527 0.763827
77.900000 0.116967 0.763761
78.000000 0.116407 0.763695
78.100000 0.115848 0.763629
78.200000 0.115288 0.763563
78.300000 0.114729 0.763497
78.400000 0.114169 0.763432
78.500000 0.113610 0.763366
78.600000 0.113050 0.763300
78.700000 0.112490 0.763234
78.800000 0.111931 0.763168
78.900000 0.111371 0.763103
79.000000 0.110812 0.763037
79.100000 0.110252 0.762971
79.200000 0.109693 0.762905
79.300000 0.109133 0.762839
79.400000 0.108574 0.762773
79.500000 0.108014 0.762708
79.600000 0.107454 0.762642
79.700000 0.106895 0.762576
79.800000 0.106335 0.762510
79.900000 0.105776 0.762444
80.000000 0.105216 0.762378
80.100000 0.104657 0.762313
80.200000 0.104097 0.762247
80.300000 0.103537 0.762181
80.400000 0.102978 0.762115
80.500000 0.102418 0.762049
80.600000 0.101859 0.761983
80.700000 0.101299 0.761918
80.800000 0.100740 0.761852
80.900000 0.100180 0.761786
81.000000 0.099620 0.761720
81.100000 0.099061 0.761654
81.200000 0.098501 0.761588
81.300000 0.097942 0.761523
81.400000 0.097382 0.761457
81.500000 0.096823 0.761391
81.600000 0.096263 0.761325
81.700000 0.095703 0.761259
81.800000 0.095144 0.761193
81.900000 0.094584 0.761128
82.000000 0.094025 0.761062
82.100000 0.093465 0.760996
82.200000 0.092906 0.760930
82.300000 0.092346 0.760864
82.400000 0.091786 0.760798
82.500000 0.091227 0.760733
82.600000 0.090667 0.760667
82.700000 0.090108 0.760601
82.800000 0.089548 0.760535
82.900000 0.088989 0.760469
83.000000 0.088429 0.760403
83.100000 0.087870 0.760338
83.200000 0.087310 0.760272
83.300000 0.086750 0.760206
83.400000 0.086191 0.760140
83.500000 0.085631 0.760074
83.600000 0.085072 0.760008
83.700000 0.084512 0.759943
83.800000 0.083953 0.759877
83.900000 0.083393 0.759811
84.000000 0.082833 0.759745
84.100000 0.082274 0.759679
84.200000 0.081714 0.759613
84.300000 0.081155 0.759548
84.400000 0.080595 0.759482
84.500000 0.080036 0.759416
84.600000 0.079476 0.759350
84.700000 0.078916 0.759284
84.800000 0.078357 0.759218
84.900000 0.077797 0.759153
85.000000 0.077238 0.759087
85.100000 0.076678 0.759021
85.200000 0.076119 0.758955
85.300000 0.075559 0.758889
85.400000 0.074999 0.758823
85.500000 0.074440 0.758758
85.600000 0.073880 0.758692
85.700000 0.073321 0.758626
85.800000 0.072761 0.758560
85.900000 0.072202 0.758494
86.000000 0.071642 0.758428
86.100000 0.071083 0.758363
86.200000 0.070523 0.758297
86.300000 0.069963 0.758231
